limite_credito;genero;nivel_educativo;estado_civil;edad;est_pago_sep;est_pago_ago;est_pago_jul;est_pago_jun;est_pago_may;est_pago_abr;deuda_sep;deuda_ago;deuda_jul;deuda_jun;deuda_may;deuda_abr;pago_sep;pago_ago;pago_jul;pago_jun;pago_may;pago_abr;incumplimiento_sig_mes;util_sep;util_ago;util_jul;util_jun;util_may;util_abr;avg_retraso;var_deuda_reciente;ratio_pago_sep;total_pagos;total_deuda;rango_edad_2
20000;0;2;1;24;2;2;-1;-1;-2;-2;3913;3102;689;0;0;0;0;689;0;0;0;0;1;0.19565;0.1551;0.03445;0.0;0.0;0.0;-0.3333333333333333;811;0.0;689;7704;1
120000;0;2;2;26;-1;2;0;0;0;2;2682;1725;2682;3272;3455;3261;0;1000;1000;1000;0;2000;1;0.02235;0.014375;0.02235;0.027266666666666668;0.028791666666666667;0.027175;0.5;957;0.0;5000;17077;1
90000;0;2;2;34;0;0;0;0;0;0;29239;14027;13559;14331;14948;15549;1518;1500;1000;1000;1000;5000;0;0.32487777777777777;0.15585555555555555;0.15065555555555554;0.15923333333333334;0.1660888888888889;0.17276666666666668;0.0;15212;0.10821986169530191;11018;101653;2
50000;0;2;1;37;0;0;0;0;0;0;46990;48233;49291;28314;28959;29547;2000;2019;1200;1100;1069;1000;0;0.9398;0.96466;0.98582;0.56628;0.57918;0.59094;0.0;-1243;0.041465386768395084;8388;231334;2
50000;1;2;1;57;-1;0;-1;0;0;0;8617;5670;35835;20940;19146;19131;2000;36681;10000;9000;689;679;0;0.17234;0.1134;0.7167;0.4188;0.38292;0.38262;-0.3333333333333333;2947;0.3527336860670194;59049;109339;4
50000;1;1;2;37;0;0;0;0;0;0;64400;57069;57608;19394;19619;20024;2500;1815;657;1000;1000;800;0;1.288;1.14138;1.15216;0.38788;0.39238;0.40048;0.0;7331;0.043806620056422926;7772;238114;2
500000;1;1;2;29;0;0;0;0;0;0;367965;412023;445007;542653;483003;473944;55000;40000;38000;20239;13750;13770;0;0.73593;0.824046;0.890014;1.085306;0.966006;0.947888;0.0;-44058;0.13348769364817012;180759;2724595;1
100000;0;2;2;23;0;-1;-1;0;0;-1;11876;380;601;221;-159;567;380;601;0;581;1687;1542;0;0.11876;0.0038;0.00601;0.00221;-0.00159;0.00567;-0.5;11496;1.0;4791;13486;1
140000;0;3;1;28;0;0;2;0;0;0;11285;14096;12108;12211;11793;3719;3329;0;432;1000;1000;1000;0;0.08060714285714286;0.10068571428571428;0.08648571428571429;0.08722142857142857;0.08423571428571429;0.026564285714285714;0.3333333333333333;-2811;0.23616628830874006;6761;65212;1
20000;1;3;2;35;-2;-2;-2;-2;-1;-1;0;0;0;0;13007;13912;0;0;0;13007;1122;0;0;0.0;0.0;0.0;0.0;0.65035;0.6956;-1.6666666666666667;0;0.0;14129;26919;2
200000;0;3;2;34;0;0;2;0;0;-1;11073;9787;5535;2513;1828;3731;2306;12;50;300;3738;66;0;0.055365;0.048935;0.027675;0.012565;0.00914;0.018655;0.16666666666666666;1286;0.2356186778379483;6472;34467;2
260000;0;1;2;51;-1;-1;-1;-1;-1;2;12261;21670;9966;8517;22287;13668;21818;9966;8583;22301;0;3640;0;0.04715769230769231;0.08334615384615385;0.03833076923076923;0.03275769230769231;0.08571923076923077;0.05256923076923077;-0.5;-9409;1.0068297185048454;66308;88369;4
630000;0;2;2;41;-1;0;-1;-1;-1;-1;12137;6500;6500;6500;6500;2870;1000;6500;6500;6500;2870;0;0;0.019265079365079363;0.010317460317460317;0.010317460317460317;0.010317460317460317;0.010317460317460317;0.004555555555555556;-0.8333333333333334;5637;0.15384615384615385;23370;41007;3
70000;1;2;2;30;1;2;2;0;0;2;65802;67369;65701;66782;36137;36894;3200;0;3000;3000;1500;0;1;0.9400285714285714;0.9624142857142857;0.9385857142857142;0.9540285714285714;0.5162428571428571;0.5270571428571429;1.1666666666666667;-1567;0.04749959180038296;10700;338685;2
250000;1;1;2;29;0;0;0;0;0;0;70887;67060;63561;59696;56875;55512;3000;3000;3000;3000;3000;3000;0;0.283548;0.26824;0.254244;0.238784;0.2275;0.222048;0.0;3827;0.044736057262153295;18000;373591;1
